type,title,cast,country,rating,listed_in,combination
Movie,man of the house,chevy chase  farrah fawcett  jonathan taylor thomas,united states,pg,"comedy, coming of age, crime","Movie pg comedy, coming of age, crime chevy chase  farrah fawcett  jonathan taylor thomas united states"
Movie,mark twain and me,jason robards  talia shire  r.h. thomson,"canada, united states",tv-pg,"biographical, coming of age, drama","Movie tv-pg biographical, coming of age, drama jason robards  talia shire  r.h. thomson canada, united states"
Movie,squanto: a warrior's tale,adam beach  eric schweig  michael gambon,"united states, canada",pg,"action-adventure, biographical, drama","Movie pg action-adventure, biographical, drama adam beach  eric schweig  michael gambon united states, canada"
Movie,caravan of courage: an ewok adventure,eric walker  warwick davis  fionnula flanagan,unknown,tv-pg,"action-adventure, fantasy, science fiction","Movie tv-pg action-adventure, fantasy, science fiction eric walker  warwick davis  fionnula flanagan unknown"
Movie,ewoks: the battle for endor,wilford brimley  warwick davis  aubree miller,united states,tv-pg,"action-adventure, fantasy, science fiction","Movie tv-pg action-adventure, fantasy, science fiction wilford brimley  warwick davis  aubree miller united states"
Movie,island at the top of the world,david hartman  donald sinden  jacques marin,united states,g,"action-adventure, fantasy, survival","Movie g action-adventure, fantasy, survival david hartman  donald sinden  jacques marin united states"
Movie,night at the museum,ben stiller  carla gugino  dick van dyke,"united states, united kingdom",pg,"action-adventure, comedy, family","Movie pg action-adventure, comedy, family ben stiller  carla gugino  dick van dyke united states, united kingdom"
Movie,night at the museum: battle of the smithsonian,ben stiller  amy adams  owen wilson,"united states, canada",pg,"action-adventure, comedy, family","Movie pg action-adventure, comedy, family ben stiller  amy adams  owen wilson united states, canada"
Movie,sharks of the bermuda triangle,mike new,unknown,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary mike new unknown"
Movie,star wars vintage: story of the faithful wookiee,unknown,unknown,tv-y7-fv,animation,Movie tv-y7-fv animation unknown unknown
Movie,the big year,steve martin  jack black  owen wilson,"united states, canada",pg,"animals & nature, comedy","Movie pg animals & nature, comedy steve martin  jack black  owen wilson united states, canada"
Movie,the last ice,unknown,united states,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary unknown united states"
Movie,third man on the mountain,michael rennie  james macarthur  janet munro,"united states, united kingdom",g,"action-adventure, coming of age, family","Movie g action-adventure, coming of age, family michael rennie  james macarthur  janet munro united states, united kingdom"
Movie,gnomeo & juliet,james mcavoy  emily blunt  matt lucas,"united kingdom, united states, canada, ireland",g,"action-adventure, animation, family","Movie g action-adventure, animation, family james mcavoy  emily blunt  matt lucas united kingdom, united states, canada, ireland"
Movie,disney my music story: perfume,a-chan   kashiyuka   nocchi,unknown,unknown,"biographical, documentary, music","Movie unknown biographical, documentary, music a-chan   kashiyuka   nocchi unknown"
Movie,doc mcstuffins: the doc is in,laya deleon hayes  loretta devine  lara jill miller,unknown,tv-y,"animation, kids, medical","Movie tv-y animation, kids, medical laya deleon hayes  loretta devine  lara jill miller unknown"
Movie,miss peregrine's home for peculiar children,eva green  asa butterfield  samuel l. jackson,"united states, united kingdom, belgium, canada",pg-13,"coming of age, fantasy","Movie pg-13 coming of age, fantasy eva green  asa butterfield  samuel l. jackson united states, united kingdom, belgium, canada"
Movie,own the room,alondra toledo  daniela blanco  henry onyango,unknown,tv-14,documentary,Movie tv-14 documentary alondra toledo  daniela blanco  henry onyango unknown
Movie,garfield: a tail of two kitties,breckin meyer  jennifer love hewitt  billy connolly,"united kingdom, united states",pg,"comedy, family, kids","Movie pg comedy, family, kids breckin meyer  jennifer love hewitt  billy connolly united kingdom, united states"
Movie,myth: a frozen tale,evan rachel wood,united states,tv-g,"animation, family, fantasy","Movie tv-g animation, family, fantasy evan rachel wood united states"
Movie,okavango: river of dreams,dereck joubert,"austria, south africa",tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary dereck joubert austria, south africa"
Movie,shanghai disney resort grand opening gala,unknown,unknown,tv-g,variety,Movie tv-g variety unknown unknown
Movie,cheaper by the dozen,steve martin  bonnie hunt  hilary duff,united states,pg,"comedy, family","Movie pg comedy, family steve martin  bonnie hunt  hilary duff united states"
Movie,cheaper by the dozen 2,steve martin  eugene levy  bonnie hunt,"united states, canada",pg,"comedy, family","Movie pg comedy, family steve martin  eugene levy  bonnie hunt united states, canada"
Movie,flora & ulysses,matilda lawler  alyson hannigan  ben schwartz,united states,pg,"comedy, coming of age, drama","Movie pg comedy, coming of age, drama matilda lawler  alyson hannigan  ben schwartz united states"
Movie,the book of life,diego luna  zoe saldana  channing tatum,unknown,pg,"action-adventure, animation, comedy","Movie pg action-adventure, animation, comedy diego luna  zoe saldana  channing tatum unknown"
Movie,marvel's behind the mask,unknown,unknown,tv-14,"anthology, documentary","Movie tv-14 anthology, documentary unknown unknown"
Movie,rodgers & hammerstein's cinderella,brandy norwood  whitney houston  bernadette peters,unknown,g,"comedy, family, fantasy","Movie g comedy, family, fantasy brandy norwood  whitney houston  bernadette peters unknown"
Movie,you again,kristen bell  sigourney weaver  jamie lee curtis,united states,pg,comedy,Movie pg comedy kristen bell  sigourney weaver  jamie lee curtis united states
Movie,disney my music story: yoshiki,yoshiki,"united states, japan",tv-pg,"biographical, documentary, music","Movie tv-pg biographical, documentary, music yoshiki united states, japan"
Movie,expedition everest,tate donovan,united states,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary tate donovan united states"
Movie,upside-down magic,izabela rose  siena agudong  kyle howard,"united states, canada",tv-pg,"coming of age, fantasy","Movie tv-pg coming of age, fantasy izabela rose  siena agudong  kyle howard united states, canada"
Movie,texas storm squad,sam douglas,unknown,tv-14,documentary,Movie tv-14 documentary sam douglas unknown
Movie,wild uganda,russell boulter,unknown,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary russell boulter unknown"
Movie,isle of dogs,bryan cranston  koyu rankin  edward norton,"united states, germany, united kingdom",pg-13,"action-adventure, animation, comedy","Movie pg-13 action-adventure, animation, comedy bryan cranston  koyu rankin  edward norton united states, germany, united kingdom"
Movie,mary poppins returns,emily blunt  lin-manuel miranda  ben whishaw,"united states, united kingdom",pg,"family, fantasy, musical","Movie pg family, fantasy, musical emily blunt  lin-manuel miranda  ben whishaw united states, united kingdom"
Movie,ferdinand,jack gore  jet jurgensmeyer  nile diaz,"united states, spain",pg,"action-adventure, animation, comedy","Movie pg action-adventure, animation, comedy jack gore  jet jurgensmeyer  nile diaz united states, spain"
Movie,toy story: that time forgot,tom hanks  tim allen  kristen schaal,united states,tv-g,"action-adventure, animation, comedy","Movie tv-g action-adventure, animation, comedy tom hanks  tim allen  kristen schaal united states"
Movie,700 sharks,paul bandey,france,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary paul bandey france"
Movie,big sharks rule,lance lewman,unknown,tv-14,"animals & nature, documentary","Movie tv-14 animals & nature, documentary lance lewman unknown"
Movie,dr. seuss' horton hears a who!,jim carrey  steve carell  will arnett,united states,g,"animation, comedy, family","Movie g animation, comedy, family jim carrey  steve carell  will arnett united states"
Movie,great shark chow down,dan nachtrab,unknown,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary dan nachtrab unknown"
Movie,mega hammerhead,neil hammerschlag,united states,tv-pg,"animals & nature, documentary","Movie tv-pg animals & nature, documentary neil hammerschlag united states"
Movie,burrow,unknown,united states,g,"animation, family","Movie g animation, family unknown united states"
Movie,max keeble's big move,alex d. linz  larry miller  jamie kennedy,united states,pg,"comedy, family","Movie pg comedy, family alex d. linz  larry miller  jamie kennedy united states"
Movie,soul,jamie foxx  tina fey  angela bassett,united states,pg,"animation, comedy, family","Movie pg animation, comedy, family jamie foxx  tina fey  angela bassett united states"
Movie,arendelle castle yule log,unknown,united states,tv-g,"animation, family","Movie tv-g animation, family unknown united states"
Movie,buried truth of the maya,josh bernstein,united states,tv-pg,"documentary, historical","Movie tv-pg documentary, historical josh bernstein united states"
Movie,dory's reef cam,unknown,united states,tv-g,"animation, family","Movie tv-g animation, family unknown united states"
Movie,eddie the eagle,tom costello  jo hartley  keith allen,"united kingdom, germany, united states",pg-13,"biographical, comedy, drama","Movie pg-13 biographical, comedy, drama tom costello  jo hartley  keith allen united kingdom, germany, united states"
Movie,into the woods,meryl streep  emily blunt  james corden,united states,pg,"action-adventure, fantasy, musical","Movie pg action-adventure, fantasy, musical meryl streep  emily blunt  james corden united states"
Movie,"miraculous world: new york, united heroez",cristina vee  bryce papenbrook  keith silverstein,"united kingdom, united states, france",tv-y7-fv,"action-adventure, animation, fantasy","Movie tv-y7-fv action-adventure, animation, fantasy cristina vee  bryce papenbrook  keith silverstein united kingdom, united states, france"
Movie,disney channel's epic holiday showdown,unknown,united states,tv-g,"fantasy, variety","Movie tv-g fantasy, variety unknown united states"
Movie,disney holiday magic quest,unknown,united states,tv-g,movies,Movie tv-g movies unknown united states
Movie,gender revolution: a journey with katie couric,katie couric,united states,tv-14,documentary,Movie tv-14 documentary katie couric united states
Movie,high school musical: the musical: the holiday special,olivia rodrigo  joshua bassett  sofia wylie,united states,tv-g,"drama, music, romance","Movie tv-g drama, music, romance olivia rodrigo  joshua bassett  sofia wylie united states"
Movie,ralph breaks the internet,john c. reilly  sarah silverman  gal gadot,united states,pg,"action-adventure, animation, comedy","Movie pg action-adventure, animation, comedy john c. reilly  sarah silverman  gal gadot united states"
Movie,safety,jay reeves  thaddeus j. mixson  corinne foxx,united states,pg,"biographical, drama, sports","Movie pg biographical, drama, sports jay reeves  thaddeus j. mixson  corinne foxx united states"
Movie,anastasia,meg ryan  john cusack  kelsey grammer,united states,g,"animation, family, fantasy","Movie g animation, family, fantasy meg ryan  john cusack  kelsey grammer united states"
