type,title,cast,country,rating,listed_in,combination
TV Show,howie mandel's animals doing things,howie mandel,united states,tv-pg,"animals & nature, comedy, family","TV Show tv-pg animals & nature, comedy, family howie mandel united states"
TV Show,japan: between earth and sky,bray poor,"france, japan",tv-pg,"animals & nature, docuseries","TV Show tv-pg animals & nature, docuseries bray poor france, japan"
TV Show,secrets of wild india,david attenborough,united kingdom,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family david attenborough united kingdom"
TV Show,the greeks,toby moore,united states,tv-pg,"docuseries, historical","TV Show tv-pg docuseries, historical toby moore united states"
TV Show,wild hawaii,jk simmons,united states,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family jk simmons united states"
TV Show,the evermoor chronicles,naomi sequeira  finney cassidy  georgia lock,"united kingdom, united states",tv-pg,"coming of age, fantasy, mystery","TV Show tv-pg coming of age, fantasy, mystery naomi sequeira  finney cassidy  georgia lock united kingdom, united states"
TV Show,disney vampirina,isabella crovetti  lauren graham  james van der beek,"ireland, united states",tv-y7,"animation, fantasy, kids","TV Show tv-y7 animation, fantasy, kids isabella crovetti  lauren graham  james van der beek ireland, united states"
TV Show,doc mcstuffins,kiara muhammad  jaden betts  jess harnell,"united states, ireland",tv-y7,"animation, kids, medical","TV Show tv-y7 animation, kids, medical kiara muhammad  jaden betts  jess harnell united states, ireland"
TV Show,marvel's future avengers,英司 花輪  一博 中谷  康之 加瀬,unknown,tv-y7,"action-adventure, animation, anime","TV Show tv-y7 action-adventure, animation, anime 英司 花輪  一博 中谷  康之 加瀬 unknown"
TV Show,the big fib,unknown,united states,tv-pg,"family, game show / competition","TV Show tv-pg family, game show / competition unknown united states"
TV Show,it's a dog's life with bill farmer,bill farmer,united states,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family bill farmer united states"
TV Show,awesome animals,unknown,unknown,tv-pg,"animals & nature, docuseries, family","TV Show tv-pg animals & nature, docuseries, family unknown unknown"
TV Show,birth of europe,mark halliley,united kingdom,tv-g,docuseries,TV Show tv-g docuseries mark halliley united kingdom
TV Show,buried secrets of the bible with albert lin,albert lin,unknown,tv-pg,"action-adventure, docuseries, historical","TV Show tv-pg action-adventure, docuseries, historical albert lin unknown"
TV Show,disney prop culture,daniel lanigan,united states,tv-pg,docuseries,TV Show tv-pg docuseries daniel lanigan united states
